col0_1	col0_2	abc_1	abc_2
108.737251	101.329597	119.09671	102.167221
1.383752	1.641086	1.305419	1
360.981616691252	315.86175375729	356.027578086621	358.950564874786
320.915196217391	413.128911826087	282.711714434783	270.317555521739
57.765438	80.678253	62.644482	77.169853
46.629974	56.076706	7.006617	5.898118
10.7875	8.995736	4.582704	4.222401
1.817659	1	3.357872	2.857767
18.621582	17.444838	15.12246	13.702165
482.007246642512	336.341157061594	421.038450781401	411.944653423913
153.574585	173.874039	45.339642	50.222656
31.811749	33.729134	17.817554	19.200012
180.17848088197	118.720871917286	121.693328776952	163.79383330948
10.901502	9.709577	17.714062	16.57042
86.1784222427184	88.9581723945278	72.5129125516329	84.5826266443072
1	1	1	1
33.119663	25.275425	32.672359	27.284836
151.864578	119.415825	225.873749	148.491562
10.899558	9.933608	7.657131	7.740322
65.097275	64.283981	52.680557	60.162781
27.632156	22.9792	5.321151	5.484363
14.362659	8.384422	12.706265	12.824833
79.193947	79.305656	78.865868	85.897804
85.820877	86.684509	88.613045	87.306709
83.956863	72.090332	85.032715	89.24308
67.286949	61.700741	64.468163	66.872932
30.213841335694	23.0082190906516	96.2270042195467	92.332253437677
186.757919	171.734924	49.865326	26.870161
66.010361	45.937912	20.498035	25.454309
10.248944	5.856595	24.239862	14.333267
19.1939100260417	23.2278919407552	2.66333126692708	3.16613729101562
82.818916	88.143364	83.899422	89.524551
91.2665710928043	67.3599248924008	73.9749890134499	68.7250483409549
364.986345809251	344.634014710539	488.071031206485	441.51833309299
1.105532	1.128217	2.219314	1.12316
1	1	1	1.257326
1	1	1	1
1	1	18.631456	22.761066
1	1	1	1
141.41301	127.850471	28.472095	41.747005
1	1	1.185349	1.241054
311.823949808788	162.665435609439	225.177841715216	231.187245165175
37.762146	48.327736	15.811357	19.952719
148.381744	166.546753	70.34742	91.414459
62.614189	74.845657	61.071522	73.24482
1	1.046818	1	1
1	1	1	1
10.209009	10.171835	10.47975	11.467692
85.750519	70.784828	89.290665	77.061371
1.162285	1	1	1
50.7976	38.777191	12.00606	9.95482
738.18103	652.763	500.970734	414.018585
56.1448733173996	41.5484170305927	173.292440413002	172.636121298279
21.439741	25.80162	7.098509	10.703771
459.989227	488.496918	41.762123	42.246655
95.7844750426759	75.5458603171857	86.9758659088812	109.060690448674
1.551571	1.167535	48.931896	368.371002
57.529942	57.496361	59.548401	75.36232
14.843433	10.302866	15.007101	17.461433
27.638006	23.240461	124.856712	96.16526
1	1	35.356346	23.233011
114.848281934172	71.4132198296225	403.168813963214	393.320169080349
1	1	1	1
1	1.234726	1.346277	1.563668
2.119136	2.474235	9.998026	15.168413
10.149261	17.457245	9.930349	13.258031
19.1033865474602	16.0880701328887	16.2247486192919	18.1738944007183
16.297007	25.271988	2.561924	3.082744
8.17873632774674	8.66878562942272	11.5759439180633	8.1085030689013
2.185605	2.452148	10.303325	19.536415
3.553135	3.346002	5.531352	8.134637
101.157251959233	100.882076657074	76.4409665371703	69.3295660503597
14.152926	12.980412	123.251427	165.499008
286.525055	201.728638	298.528595	208.473221
23.012896	34.426472	25.03606	32.672937
1.860164	1.445429	3.021639	1.188221
7.265392	4.233217	9.565996	11.549053
29.1982947522184	32.855118356314	27.216804647099	83.1042641296928
9.761948	9.281484	109.025505	126.861206
4.185803	3.056571	40.961731	31.852161
25.388466	25.661579	7.608655	7.540839
281.846069	499.870483	84.36293	85.084045
77.091728	61.366817	64.883961	63.811024
32.790762	29.908381	77.016006	62.244492
71.232437	76.601547	110.758942	125.663628
27.774315	34.698959	96.405586	96.670082
1.12523395904139	1.09665199825708	4.67270360958606	2.67774059215686
94.384758	104.529503	45.80336	79.520782
19.778471	11.87102	10.361062	8.538487
77.115334	66.070435	75.617195	75.808914
1.38355	1.776666	2.861566	3.085933
56.5951673042506	36.1441439451902	35.8567088053691	32.5731143847875
47.6039368028169	58.8024915766363	21.353044008285	25.3159744490472
16.527049	11.918494	15.743164	15.42984
38.9829307592691	30.9087650582627	34.0088063620233	31.9536594886123
190.584251990805	170.713759579885	10.2596337166667	14.0932313247126
39.407997514247	34.157844472863	49.6997092408413	45.7385400712347
1	1.340222	1.201888	1
59.56942	47.758221	16.662763	15.616194
134.779758464646	142.302160885781	120.830608453768	128.864984621601
50.070244	45.969646	68.365028	64.421253
8.107793	7.214139	4.286739	4.529667
15.694364	16.725597	68.052719	58.372845
1	1	1	1
1.156847	1.569803	1	1.366094
63.863525	67.41581	55.784988	58.662048
90.6648787714536	90.5651242005254	146.026762630473	140.861507069177
27.112375	23.137774	33.473881	30.77128
323.569334157558	371.103317336628	271.891027972674	240.635265476163
59.8731	55.806705	37.275799	40.789665
63.107025	93.535339	82.565826	87.519341
1	1	1.194266	1.241662
114.260798616134	82.6684593430691	88.7450838080668	67.302289310153
168.650810758009	109.693619453918	25.0158224090685	23.5666153070478
86.957558	99.03273	30.123302	27.014284
30.783499	30.171722	59.38768	55.592739
1.085727	1	2.311139	2.915192
258.328605231738	258.471029820529	203.576574452771	189.359447783375
24.063004	17.639893	18.943523	11.646807
1	1	1	1
51.9317888031625	51.8980599443839	52.8200229945474	56.4170297295529
7.263932	8.049076	17.067585	18.484573
61.31546	44.259373	63.752232	59.863178
44.115089	41.961502	53.965767	55.050728
5.24653	5.755188	11.300976	9.456913
24.524147	28.423752	23.396503	33.750614
49.162647	35.566605	13.810196	13.19903
39.42028	45.165272	31.677103	33.833286
31.610275	26.189024	30.574186	27.145592
65.682739	78.49234	43.771389	40.279243
4.922527	4.584845	2.172223	1
1	1	1	1
31.9391018725048	24.896869924018	29.3120932904057	30.2028680772698
63.61401	72.247047	20.292896	21.255722
23.062435	15.906261	4.252536	5.016054
1	1	1	1
100.087036	146.159637	103.977234	102.976822
357.640411	192.15419	62.134556	10.306682
4.275474	7.694852	3.471492	4.830466
29.3412460230516	28.3865370889133	29.0010646048299	29.2101845312843
73.8544150988124	72.2650694228029	89.1355456023753	83.0264913771971
1	1	1	1
42.046444	45.581318	56.630253	61.580891
37.626427	30.042458	47.709492	56.417629
15.482359	14.817118	24.700752	29.630869
1	1.328752	1.274213	1.328806
1	1	1	1
1	1	1	1
1	1	1	1
1	1	1.145418	1
52.439842	51.593929	66.70665	62.143166
175.804642	184.158554	255.615738	244.441345
1.264084	1.426744	4.932575	3.462521
1.994343	2.64332	7.887055	8.910885
6.87267	5.07896	2.581389	2.110985
25.5194076007083	25.393619081452	20.3669352779991	23.8046200278884
132.818707739113	116.848370630242	86.1630150923387	114.912918110887
45.7670996454014	34.3939021889952	83.990882923445	81.0379068593833
1	1.61768	1	1
167.115814947172	148.600219110006	62.6788855083903	79.3625094021131
