ctl_water1	ctl_water2	ctl_water3	ctl_drought1	ctl_drought2	ctl_drought3	h1_water1	h1_water2	h1_water3	h1_drought1	h1_drought2	h1_drought3
32.4258924364224	31.3041250851293	35.6288624471983	38.0840835474138	41.9902578480604	38.0586568814655	35.1748880549569	34.0098823157328	39.3476132984914	54.1203482510776	58.48626846875	54.3001655581897
1.1066821235184	1.08410543356207	1.09212604616344	1	1	1	1.09251137616968	1	1.07745752214598	1	1.12700185901435	1
15.6456786442895	15.0809954559721	13.7204164010462	16.1113928125545	10.0956931708806	14.5642175283348	16.3072502162162	17.0051188709677	16.7196320034874	16.7563681089799	15.6952318700959	17.057874516129
50.6244303669903	47.3149152776699	47.669803392233	51.5858436873786	43.1702316058252	52.6847476504854	55.3886885262136	51.3183059378641	55.0541730834951	57.5385542485437	54.961013431068	52.7511295728155
9.446038	9.712797	7.495289	12.322823	7.838434	12.480166	9.611992	8.730408	9.739439	13.459105	11.287578	12.611639
1	1	1	1.176662	1.371397	1.144168	1	1	1	1	1	1
3.77378284123358	4.517904078241	4.99105760308395	2.86481676127927	3.96974396973158	3.30282386007995	4.14687212621359	3.90608042490006	3.91936306339235	2.47181454254712	2.46724085037122	3.80864108737864
1.589514	1.64407	2.241672	1.930325	1.370075	1.57639	1.417466	1.666355	1.676791	1.845087	1.743521	1.895454
9.89047064199815	9.604378066605	9.20622897872341	8.12583724514339	11.6802929879741	8.87992804070305	8.51576208325625	9.02017177613321	8.68924668640148	7.54734871785384	9.25017273080481	8.59468247363552
7.69362951930356	7.65561869492809	7.1509535440323	6.89312956649003	6.34247919707293	6.87249579560939	7.26460034544537	7.41716680267474	7.41277190335604	7.22475420893263	6.18018673075953	6.81881000883169
2.892937	3.312186	2.632493	2.654011	1.707296	2.274973	3.591972	3.121951	3.03425	3.259244	2.69763	2.359572
13.158413	13.23375	13.213344	15.088124	26.698179	15.401119	13.735519	14.57163	13.194834	15.945463	17.845863	18.570482
6.04954493358455	6.16783044371173	6.04831983984927	7.26987170466321	6.36340068864814	6.91247793829487	7.21301332218559	6.49164853838907	7.30669254309939	7.82793172256241	7.16519503721149	8.03487821479039
3.420187	4.262583	4.349585	4.047821	4.522239	3.967358	3.384316	3.053388	4.369748	3.608128	4.26542	3.897626
5.88625349237473	5.78918973347858	6.10534760275962	5.29688457225853	7.66473077814089	5.46513134640523	6.23742594589688	5.84929253594771	5.12740600907771	6.89902533514887	6.76862097857662	6.83642022294844
1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1.019927	1
